Date,BTCUSDT Close,LTCUSDT Close
2022-08-02,22853.11000000,57.18000000
2022-08-03,22862.72000000,57.61000000
2022-08-04,23095.74000000,58.89000000
2022-08-05,23175.32000000,61.54000000
2022-08-06,23173.65000000,61.72000000
2022-08-07,22990.10000000,60.45000000
2022-08-08,23306.63000000,61.35000000
2022-08-09,23828.96000000,62.48000000
2022-08-10,22863.75000000,58.26000000
2022-08-11,24324.38000000,62.16000000
2022-08-12,24010.11000000,61.79000000
2022-08-13,24796.53000000,63.96000000
2022-08-14,24570.02000000,64.72000000
2022-08-15,24867.39000000,64.55000000
2022-08-16,24083.42000000,60.77000000
2022-08-17,24006.66000000,63.75000000
2022-08-18,23433.31000000,60.84000000
2022-08-19,22769.05000000,58.73000000
2022-08-20,21140.34000000,55.03000000
2022-08-21,21208.72000000,54.09000000
2022-08-22,21414.86000000,54.70000000
2022-08-23,21239.18000000,56.16000000
2022-08-24,21264.01000000,55.97000000
2022-08-25,21468.93000000,56.16000000
2022-08-26,21552.17000000,56.21000000
2022-08-27,20203.18000000,52.72000000
2022-08-28,19990.58000000,52.85000000
2022-08-29,19868.14000000,54.78000000
2022-08-30,20273.36000000,55.66000000
2022-08-31,20402.87000000,54.69000000
2022-09-01,20022.97000000,54.30000000
2022-09-02,20157.01000000,57.73000000
2022-09-03,19899.69000000,61.31000000
2022-09-04,19772.79000000,59.78000000
2022-09-05,19884.91000000,60.67000000
2022-09-06,19790.01000000,60.21000000
2022-09-07,18745.85000000,53.57000000
2022-09-08,19218.40000000,56.85000000
2022-09-09,19950.73000000,59.45000000
2022-09-10,21303.07000000,61.43000000
2022-09-11,21542.42000000,63.75000000
2022-09-12,21656.87000000,60.69000000
2022-09-13,22231.58000000,61.99000000
2022-09-14,20323.04000000,59.98000000
2022-09-15,20023.59000000,59.03000000
2022-09-16,19744.77000000,55.83000000
2022-09-17,19884.93000000,56.33000000
2022-09-18,20000.33000000,57.29000000
2022-09-19,18776.93000000,51.15000000
2022-09-20,19364.19000000,52.08000000
2022-09-21,19021.17000000,52.41000000
2022-09-22,18690.39000000,51.64000000
2022-09-23,19394.62000000,54.04000000
2022-09-24,19121.92000000,54.74000000
2022-09-25,19053.67000000,54.23000000
2022-09-26,18868.39000000,52.88000000
2022-09-27,20099.04000000,54.98000000
2022-09-28,18745.65000000,51.92000000
2022-09-29,19507.50000000,53.43000000
2022-09-30,19398.12000000,53.61000000
2022-10-01,19416.05000000,53.57000000
2022-10-02,19310.83000000,53.00000000
2022-10-03,19168.29000000,52.42000000
2022-10-04,19598.27000000,54.35000000
2022-10-05,20189.83000000,54.90000000
2022-10-06,20355.69000000,54.76000000
2022-10-07,19981.88000000,53.51000000
2022-10-08,19504.78000000,53.20000000
2022-10-09,19366.58000000,52.92000000
2022-10-10,19452.99000000,54.12000000
2022-10-11,19044.74000000,51.63000000
2022-10-12,19048.73000000,52.17000000
2022-10-13,19089.16000000,51.90000000
2022-10-14,19816.85000000,52.40000000
2022-10-15,19200.99000000,51.34000000
2022-10-16,19123.43000000,50.54000000
2022-10-17,19186.38000000,51.20000000
2022-10-18,19547.90000000,51.80000000
2022-10-19,19281.63000000,51.64000000
2022-10-20,19042.09000000,50.96000000
2022-10-21,19051.77000000,50.91000000
2022-10-22,19151.22000000,51.54000000
2022-10-23,19197.59000000,52.21000000
2022-10-24,19391.97000000,53.40000000
2022-10-25,19342.02000000,52.82000000
2022-10-26,20251.17000000,56.37000000
2022-10-27,20755.33000000,56.25000000
2022-10-28,20292.81000000,54.58000000
2022-10-29,20754.27000000,55.51000000
2022-10-30,20775.50000000,56.64000000
2022-10-31,20516.07000000,55.38000000
2022-11-01,20482.57000000,54.97000000
2022-11-02,20520.34000000,55.40000000
2022-11-03,20310.63000000,63.37000000
2022-11-04,20321.79000000,62.47000000
2022-11-05,21444.61000000,68.34000000
2022-11-06,21233.88000000,69.15000000
2022-11-07,20913.82000000,71.56000000
2022-11-08,20148.66000000,64.58000000
2022-11-09,18313.68000000,59.40000000
2022-11-10,16369.59000000,53.27000000
2022-11-11,17064.12000000,60.33000000
2022-11-12,16907.44000000,60.24000000
2022-11-13,16914.60000000,59.96000000
2022-11-14,16139.79000000,56.09000000
2022-11-15,16823.06000000,58.02000000
2022-11-16,16969.99000000,59.16000000
2022-11-17,16526.18000000,57.72000000
2022-11-18,16854.98000000,62.67000000
2022-11-19,16628.70000000,62.22000000
2022-11-20,16679.99000000,63.57000000
2022-11-21,16073.75000000,60.42000000
